area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,SNeur G,1730,3,1,96
Built-up  Area,Ready To Move,3 BHK,Aundh,Leilo E,2195,4,2,127
Super built-up  Area,18-Mar,3 BHK,Aundh Road,,1650,3,2,125
Plot  Area,Ready To Move,2 Bedroom,Balaji Nagar,,1200,2,0,71
Super built-up  Area,18-May,2 BHK,Baner,,1079,2,1,32.37
Super built-up  Area,19-Oct,2 BHK,Baner road,Caiya D,1085,2,1,36
Built-up  Area,Ready To Move,7 Bedroom,Bhandarkar Road,,5000,7,,299
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,,1075,2,1,51.5
Super built-up  Area,18-May,2 BHK,Bibvewadi,,1380,2,1,80
Super built-up  Area,Ready To Move,3 BHK,Bopodi,,1450,3,1,65
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,,1200,2,2,78
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,,3200,4,,350
Super built-up  Area,21-Jul,3 BHK,Camp,GoAirej,1639,3,1,98.32
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,,1200,2,1,54
Super built-up  Area,21-Jun,3 BHK,Dapodi,Saityat,1739,3,1,116
Built-up  Area,Ready To Move,4 Bedroom,Deccan Gymkhana,RMaanSa,4346,5,,500
Super built-up  Area,20-Dec,2 BHK,Dehu Road,Shmes O,935,2,1,32.72
Super built-up  Area,21-Nov,1 RK,Dhankawadi,Bhe 2ko,510,1,1,25.25
Plot  Area,Ready To Move,6 Bedroom,Dhayari Phata,,1200,6,3,180
Super built-up  Area,Ready To Move,2 BHK,Dhole Patil Road,PrestSe,1178,2,3,47
Built-up  Area,Ready To Move,3 BHK,Erandwane,Siourpl,1375,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,Halms S,1065,2,1,33
Super built-up  Area,Ready To Move,3 BHK,Fergusson College Road,,1450,2,1,50.75
Built-up  Area,Ready To Move,2 BHK,Ganesh Peth,,999,2,3,45
Super built-up  Area,Ready To Move,2 BHK,Ganeshkhind,,4400,3,2,475
Plot  Area,Ready To Move,5 Bedroom,Ghorpade Peth,,1350,4,1,135
Built-up  Area,Ready To Move,2 BHK,Ghorpadi,,1100,2,2,40
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,Wiass G,1835,2,3,155
Super built-up  Area,20-Dec,4 BHK,Gultekdi,Caycend,2090,4,0,95.1
Super built-up  Area,Ready To Move,3 BHK,Guruwar peth,Soiewre,1519,3,1,93
Built-up  Area,Ready To Move,3 BHK,Hadapsar,Asene S,1267,3,2,56
Super built-up  Area,Ready To Move,2 BHK,Hadapsar Industrial Estate,Camesa ,1150,2,3,72.2
Super built-up  Area,19-Dec,2 BHK,Hingne Khurd,PrensKe,1146,2,1,70
Plot  Area,18-Feb,8 Bedroom,Jangali Maharaj Road,,1200,7,0,235
Built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,Marnaer,1550,3,3,65
Built-up  Area,Ready To Move,2 BHK,Karve Nagar,KHityry,850,1,1,18.5
Super built-up  Area,Ready To Move,3 BHK,Karve Road,Kaestid,2200,3,,187
Built-up  Area,Ready To Move,3 Bedroom,Kasba Peth,,3329,3,2,330
Carpet  Area,Ready To Move,1 BHK,Katraj,,785,1,1,55
Super built-up  Area,Ready To Move,3 BHK,Khadaki,GonumPl,2900,4,,300
Built-up  Area,Ready To Move,3 BHK,Khadki,Avlya A,1610,3,2,74
Super built-up  Area,Ready To Move,2 BHK,Kharadi,Krine O,921,2,2,40
Plot  Area,Ready To Move,3 Bedroom,Kondhwa,,850,3,2,95
Built-up  Area,Ready To Move,5 Bedroom,Kondhwa Budruk,,2700,5,0,158
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Khurd,SocusHi,1700,3,3,110
Built-up  Area,Ready To Move,2 BHK,Koregaon Park,Sondaka,1020,2,2,35
Super built-up  Area,Ready To Move,2 BHK,Kothrud,Dintsmi,1090,2,3,52
Plot  Area,Ready To Move,4 Bedroom,Law College Road,,3600,4,,300
Super built-up  Area,Ready To Move,2 BHK,Laxmi Road,,1027,2,2,44
Super built-up  Area,Ready To Move,2 BHK,Lulla Nagar,MenueNo,1185,2,2,42.1
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,Prianhi,850,2,1,25
Built-up  Area,Ready To Move,2 BHK,Mangalwar peth,Prncyrn,1197,2,1,84
Super built-up  Area,Ready To Move,4 BHK,Manik Bagh,ETntsce,3500,3,3,450
Super built-up  Area,Ready To Move,2 BHK,Market yard,,920,2,2,39.55
Super built-up  Area,Ready To Move,9 BHK,Model colony,,716Sq. Meter,9,1,296
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,i1rtsCo,1105,2,1,65
Super built-up  Area,Ready To Move,3 BHK,Mundhawa,GoandAc,1850,3,3,100
Super built-up  Area,20-Dec,3 BHK,Nagar Road,PrarePa,1300,3,1,64
Built-up  Area,Ready To Move,3 BHK,Nana Peth,,1595,3,2,76
Super built-up  Area,19-Dec,4 BHK,Narayan Peth,Priesla,3073,5,2,696
Built-up  Area,Ready To Move,2 BHK,Narayangaon,,755,2,1,37.49
Built-up  Area,Ready To Move,5 Bedroom,Navi Peth,,4050,5,2,140
Super built-up  Area,21-Dec,3 BHK,Padmavati,,1300,2,3,69
Built-up  Area,Ready To Move,2 BHK,Parvati Darshan,,1215,2,0,50
Super built-up  Area,20-Oct,2 BHK,Pashan,PrarePa,900,2,1,46
Super built-up  Area,18-Oct,2 BHK,Paud Road,,1145,2,3,58.4
Super built-up  Area,Ready To Move,2 BHK,Pirangut,,1093,2,2,65
Super built-up  Area,17-Nov,3 BHK,Prabhat Road,,1213,2,2,41.39
Super built-up  Area,Ready To Move,3 BHK,Pune Railway Station,PrliaRe,1654,3,2,100
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,,1105,2,1,52.48
Super built-up  Area,Ready To Move,3 BHK,Raviwar Peth,,1611,2,2,66
Built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,Hoens T,1367,2,2,62
Super built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,Brntsal,1010,2,1,51
Plot  Area,Ready To Move,3 Bedroom,Salunke Vihar,,750,2,1,75
Carpet  Area,Ready To Move,3 BHK,Sasson Road,SVon hn,1535,3,1,95
Super built-up  Area,Ready To Move,2 BHK,Satara Road,,620,2,1,22
Built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,982,2,1,47.65
Super built-up  Area,Ready To Move,2 BHK,Shaniwar Peth,,1700,2,2,150
Super built-up  Area,18-Dec,2 BHK,Shivaji Nagar,BSlasin,1330,2,1,71
Built-up  Area,Ready To Move,3 Bedroom,Shukrawar Peth,Ronty C,2500,3,2,135
Super built-up  Area,Ready To Move,3 BHK,Sinhagad Road,,1475,2,2,58.99
Super built-up  Area,Ready To Move,3 BHK,Somwar Peth,BSisear,1410,3,1,65
Super built-up  Area,Ready To Move,1 BHK,Swargate,,440,1,1,16.5
Super built-up  Area,Ready To Move,3 BHK,Tilak Road,PuziaVe,1614,3,2,95
Super built-up  Area,Ready To Move,2 BHK,Uruli Devachi,GeereEc,1363,2,2,68
Built-up  Area,Ready To Move,2 Bedroom,Vadgaon Budruk,,650,2,0,28
Super built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,,1015,2,1,45
Super built-up  Area,Ready To Move,2 BHK,Viman Nagar,,1156,2,2,46
Super built-up  Area,19-Mar,2 BHK,Vishrant Wadi,,1100,2,1,62.7
Super built-up  Area,18-Jan,3 BHK,Wagholi,,1455,3,2,46
Super built-up  Area,Ready To Move,2 BHK,Wakadewadi,Ravashw,930,2,1,45
Built-up  Area,Ready To Move,3 BHK,Wanowrie,,1650,2,2,80
Built-up  Area,Ready To Move,2 Bedroom,Warje,,1200,2,0,90
Plot  Area,Ready To Move,1 Bedroom,Yerawada,,700,1,0,150
Super built-up  Area,Ready To Move,4 BHK,Alandi Road,AjityIn,2900,3,,135
Super built-up  Area,18-Mar,3 BHK,Ambegaon Budruk,Alestrb,1890,4,3,127
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,Vaour S,2197,4,3,280
Super built-up  Area,Ready To Move,3 BHK,Aundh,GonumPl,3522,3,2,380
Super built-up  Area,18-Apr,3 BHK,Aundh Road,,1240,2,2,46
Built-up  Area,Ready To Move,2 BHK,Balaji Nagar,Vaaveeh,1440,2,2,98
Super built-up  Area,Ready To Move,1 BHK,Baner,,650,1,2,38
Super built-up  Area,19-Jun,1 BHK,Baner road,Brstaue,764,1,1,32
Plot  Area,Ready To Move,5 Bedroom,Bhandarkar Road,,900,4,0,90
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,3 BHK,Bibvewadi,Macanr ,1445,3,2,65
Super built-up  Area,21-Oct,2 BHK,Bopodi,PrarePa,900,1,0,45
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,,1030,2,,55
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,Pyikad ,1381,2,2,52.48
Built-up  Area,Ready To Move,2 BHK,Camp,Krtiqa ,1100,2,1,60
Super built-up  Area,Ready To Move,3 BHK,Chandan Nagar,,1575,3,2,66.39
Plot  Area,Ready To Move,2 Bedroom,Dapodi,,1200,2,1,65
Super built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,Dhalsh ,1200,2,2,43.2
Super built-up  Area,Ready To Move,2 BHK,Dehu Road,GradeMR,1080,2,2,80
Plot  Area,Ready To Move,5 Bedroom,Dhankawadi,,2280,5,,200
Super built-up  Area,18-Mar,3 BHK,Dhayari Phata,,1360,2,2,85
Super built-up  Area,19-Dec,3 BHK,Dhole Patil Road,Ceezey ,1865,3,1,124
Super built-up  Area,18-Nov,3 BHK,Erandwane,AsastDe,1157,2,1,75
Super built-up  Area,Ready To Move,2 BHK,Fatima Nagar,Icingpy,674,2,1,29
Super built-up  Area,Ready To Move,3 BHK,Fergusson College Road,AdndeBe,1405,2,1,78
Super built-up  Area,Ready To Move,2 BHK,Ganesh Peth,Dhalsh ,1160,2,2,44.08
Plot  Area,Ready To Move,4 Bedroom,Ganeshkhind,,1600,3,1,172
Super built-up  Area,21-Mar,3 BHK,Ghorpade Peth,Oztarol,1790,3,2,127
Super built-up  Area,18-May,2 BHK,Ghorpadi,Prarkun,1128,2,1,65.65
Super built-up  Area,Ready To Move,2 BHK,Gokhale Nagar,Arentpa,1180,2,1,70
Built-up  Area,Ready To Move,3 BHK,Gultekdi,,1450,2,2,85
Built-up  Area,18-Mar,1 BHK,Guruwar peth,,340,1,1,10
Built-up  Area,Ready To Move,4 Bedroom,Hadapsar,,2000,3,1,166
Super built-up  Area,Ready To Move,2 BHK,Hadapsar Industrial Estate,,1050,2,2,53.5
Super built-up  Area,Ready To Move,2 BHK,Hingne Khurd,Pethaai,1125,2,2,40
Super built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,Prlla C,1246,2,1,68
Super built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,SrisePo,1372,2,1,61
Super built-up  Area,Ready To Move,3 BHK,Karve Nagar,Aklia R,1330,2,1,56
Super built-up  Area,19-Dec,3 BHK,Karve Road,She 2rk,2465,5,2,234
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,,1300,2,3,55
Plot  Area,Ready To Move,2 Bedroom,Katraj,,1420,1,0,220
Plot  Area,Ready To Move,4 Bedroom,Khadaki,,810,4,1,50
Super built-up  Area,Ready To Move,2 BHK,Khadki,Unm 2El,1065,2,1,35
Built-up  Area,Ready To Move,2 BHK,Kharadi,,700,2,0,27
Carpet  Area,18-Mar,2 BHK,Kondhwa,Arcia S,547.34 - 827.31,2,0,42.72
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,Viiniai,1050,2,1,45
Super built-up  Area,18-Apr,3 BHK,Kondhwa Khurd,,1250,3,3,39.5
Built-up  Area,Ready To Move,2 BHK,Koregaon Park,Palleon,865,2,0,42
Super built-up  Area,Ready To Move,2 BHK,Kothrud,,1200,2,2,44
Built-up  Area,Ready To Move,3 BHK,Law College Road,NRnoral,1756,3,3,100
Plot  Area,Ready To Move,9 Bedroom,Laxmi Road,,750,8,,150
Super built-up  Area,Ready To Move,1 BHK,Lulla Nagar,Ardanru,628,1,1,24
Plot  Area,Ready To Move,7 Bedroom,Mahatma Gandhi Road,,1200,6,2,195
Super built-up  Area,Ready To Move,2 BHK,Mangalwar peth,,1207,2,2,63
Super built-up  Area,Ready To Move,3 BHK,Manik Bagh,KlarkBe,1765,3,1,125
Built-up  Area,18-Dec,2 BHK,Market yard,,1130,2,1,32.64
Super built-up  Area,18-Jun,3 BHK,Model colony,Ozana U,1532,3,3,92
Built-up  Area,Ready To Move,3 BHK,Mukund Nagar,DSncele,1650,3,0,110
Built-up  Area,18-May,4 Bedroom,Mundhawa,,1200,4,2,105
Carpet  Area,18-Dec,2 BHK,Nagar Road,Rosha I,804.1,2,1,69.09
Super built-up  Area,18-Apr,2 BHK,Nana Peth,,1200,2,2,75
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,,1197,2,2,50
Built-up  Area,Ready To Move,2 BHK,Narayangaon,Paarklu,1200,2,2,66
Super built-up  Area,Ready To Move,3 BHK,Navi Peth,Shony S,1385,2,2,48.48
Super built-up  Area,Ready To Move,2 BHK,Padmavati,Cearkry,1010,2,3,148
Super built-up  Area,Ready To Move,3 BHK,Parvati Darshan,UKe 2nz,2225,3,3,115
Super built-up  Area,Ready To Move,2 BHK,Pashan,Niimet ,1180,2,2,48
Super built-up  Area,Ready To Move,3 BHK,Paud Road,,1525,2,3,122
Super built-up  Area,Ready To Move,2 BHK,Pirangut,,1100,2,2,31.5
Super built-up  Area,Ready To Move,3 BHK,Prabhat Road,,1435,3,3,70
Built-up  Area,Ready To Move,1 BHK,Pune Railway Station,Jae 2hu,400,1,1,14
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,Asene S,1200,2,2,50
Super built-up  Area,21-Mar,2 BHK,Raviwar Peth,PritaDo,1272,2,1,95.05
Super built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,SSthamh,1205,2,1,39
Built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,ARomee ,980,2,1,40
Super built-up  Area,18-May,2 BHK,Salunke Vihar,,1225,2,2,46.86
Built-up  Area,Ready To Move,3 BHK,Sasson Road,,1541,3,1,72
Super built-up  Area,Ready To Move,3 BHK,Satara Road,DNeremo,1610,2,2,111
Super built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,Tahtsla,1694,2,2,125
Plot  Area,Ready To Move,3 Bedroom,Shaniwar Peth,,600,3,2,75
Super built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,Baowsig,950,2,1,39
Super built-up  Area,Ready To Move,3 BHK,Shukrawar Peth,Laderav,1560,2,3,66
Super built-up  Area,Ready To Move,2 BHK,Sinhagad Road,,1201,2,2,27
Plot  Area,Ready To Move,2 Bedroom,Somwar Peth,,1500,2,1,60
Super built-up  Area,Ready To Move,3 BHK,Swargate,,1785,3,2,75
Built-up  Area,Ready To Move,2 BHK,Tilak Road,,1258,2,1,63.53
Super built-up  Area,Ready To Move,2 BHK,Uruli Devachi,CoapeSo,910,2,2,42
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,,1297,2,2,112
Super built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,Vangsld,1291,2,3,49
Built-up  Area,Ready To Move,2 BHK,Viman Nagar,,1070,2,2,42
Super built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,Soamsay,1012,2,1,66.5
Super built-up  Area,Ready To Move,2 BHK,Wagholi,,1260,2,3,57.6
Super built-up  Area,Ready To Move,2 BHK,Wakadewadi,Maantr ,1282,2,2,72
Super built-up  Area,Ready To Move,3 BHK,Wanowrie,Puestol,1843,3,2,92.15
Plot  Area,Ready To Move,4 Bedroom,Warje,,2400,3,,200
Built-up  Area,Ready To Move,5 Bedroom,Yerawada,Theanmp,3356,5,2,105
Super built-up  Area,19-Mar,4 BHK,Alandi Road,Raard B,2790,5,3,198
Super built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,BrontLa,1330,2,1,86.98
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,A rtsai,1400,2,1,73
Built-up  Area,18-Dec,2 BHK,Aundh,,1192,2,1,71
Built-up  Area,Ready To Move,2 BHK,Aundh Road,,1000,2,1,130
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,Prtanha,1297,2,2,103
Super built-up  Area,19-Jul,1 BHK,Baner,Sasta S,580 - 650,1,0,17.835
Super built-up  Area,21-Jun,3 BHK,Baner road,Saahaat,1490,3,2,100
Super built-up  Area,Ready To Move,3 BHK,Bhandarkar Road,MJeusyl,1373,3,2,72
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,,1035,2,1,41.39
Plot  Area,Ready To Move,4 Bedroom,Bibvewadi,,3750,4,0,210
Super built-up  Area,Ready To Move,2 BHK,Bopodi,,1010,2,1,40.39
Built-up  Area,Ready To Move,2 BHK,Budhwar Peth,,1195,2,1,42
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,Klort C,1750,3,2,95
Super built-up  Area,Ready To Move,2 BHK,Camp,A idse ,1052,2,2,50
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,,1180,2,2,58
Built-up  Area,Ready To Move,5 Bedroom,Dapodi,,3680,4,2,440
Built-up  Area,Ready To Move,3 BHK,Deccan Gymkhana,,2100,3,2,73
Built-up  Area,18-Mar,4 Bedroom,Dehu Road,,2863,4,1,140
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,GrrvaGr,1128,2,2,38.24
Built-up  Area,Ready To Move,3 BHK,Dhayari Phata,,2700,3,1,450
Super built-up  Area,18-Jul,2 BHK,Dhole Patil Road,DSvvyx ,1120,2,2,33.6
Built-up  Area,Ready To Move,3 BHK,Erandwane,,2424,3,2,90
Built-up  Area,Ready To Move,2 BHK,Fatima Nagar,,1300,2,1,60
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,SPavenc,1090,2,2,32.69
Built-up  Area,Ready To Move,3 Bedroom,Ganesh Peth,,2710,3,1,251
Plot  Area,Ready To Move,2 Bedroom,Ganeshkhind,,3040,1,1,180
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,SLnssPr,1330,2,2,46.55
Super built-up  Area,18-Jul,3 BHK,Ghorpadi,PuendWe,1427,2,1,80.63
Super built-up  Area,18-Aug,3 BHK,Gokhale Nagar,,1294,2,2,48
Built-up  Area,Ready To Move,3 BHK,Gultekdi,Vantspa,1580,3,2,75
Plot  Area,Ready To Move,5 Bedroom,Guruwar peth,,400,5,1,200
Plot  Area,Ready To Move,3 Bedroom,Hadapsar,FiriaVi,1808,4,2,80.27
Super built-up  Area,Ready To Move,4 BHK,Hadapsar Industrial Estate,PhestOn,3516,4,3,540
Super built-up  Area,Ready To Move,2 BHK,Hingne Khurd,Peide L,1194,2,2,47
Super built-up  Area,21-Dec,2 BHK,Jangali Maharaj Road,PrarePa,900,2,1,46
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,,1310,2,3,50
Super built-up  Area,21-Oct,2 BHK,Karve Nagar,PrarePa,900,2,1,46
Built-up  Area,Ready To Move,4 Bedroom,Karve Road,,3850,6,3,195
Plot  Area,Ready To Move,7 Bedroom,Kasba Peth,,925,7,3,88
Super built-up  Area,16-Dec,2 BHK,Katraj,,2400,1,1,150
Super built-up  Area,Ready To Move,2 BHK,Khadaki,,1290,2,3,100
Built-up  Area,Ready To Move,6 Bedroom,Khadki,,3770,6,3,110
Super built-up  Area,Ready To Move,3 BHK,Kharadi,Cemesti,1390,3,1,120
Plot  Area,Ready To Move,4 Bedroom,Kondhwa,,1200,4,2,72
Built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,Prityel,845,2,1,33
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Khurd,Niareum,1537,3,3,120
Super built-up  Area,Ready To Move,2 BHK,Koregaon Park,,1135,2,2,68
Super built-up  Area,19-Dec,3 BHK,Kothrud,Caycend,1512,3,2,75.77
Super built-up  Area,Ready To Move,2 BHK,Law College Road,,900,2,1,55
Super built-up  Area,Ready To Move,3 BHK,Laxmi Road,DLhtsen,1230,3,3,54
Super built-up  Area,18-Apr,3 BHK,Lulla Nagar,MNtha A,1378,2,3,42.33
Super built-up  Area,17-Oct,2 BHK,Mahatma Gandhi Road,Asarqz ,1277,2,1,61.3
Super built-up  Area,19-Jun,3 BHK,Mangalwar peth,Raard B,1985,4,2,189
Plot  Area,Ready To Move,5 Bedroom,Manik Bagh,,8000,5,,500
Super built-up  Area,Ready To Move,2 BHK,Market yard,SVmesVi,1210,2,2,62
Super built-up  Area,Ready To Move,2 BHK,Model colony,,890,2,,40
Plot  Area,Ready To Move,9 Bedroom,Mukund Nagar,,2550,9,0,360
Plot  Area,Ready To Move,4 Bedroom,Mundhawa,,1200,5,2,110
Built-up  Area,Ready To Move,4 BHK,Nagar Road,AWharde,3198,4,3,200
Super built-up  Area,Ready To Move,3 BHK,Nana Peth,,1464,3,2,56
Super built-up  Area,Ready To Move,4 BHK,Narayan Peth,Prersis,2483,5,2,215
Plot  Area,Ready To Move,4 Bedroom,Narayangaon,,1550,4,2,130
Super built-up  Area,Ready To Move,4 BHK,Navi Peth,Vaunei ,4111,4,1,310
Super built-up  Area,Ready To Move,2 BHK,Padmavati,SNncypa,975,2,2,37.5
Super built-up  Area,Ready To Move,3 BHK,Parvati Darshan,,2500,3,1,250
Super built-up  Area,Ready To Move,3 BHK,Pashan,PuoodSk,1690,3,1,125
Super built-up  Area,18-May,2 BHK,Paud Road,SStusan,1063,2,1,31.89
Plot  Area,Ready To Move,3 Bedroom,Pirangut,,2572,3,3,390
Carpet  Area,Ready To Move,3 BHK,Prabhat Road,,2200,4,,350
Built-up  Area,Ready To Move,3 BHK,Pune Railway Station,InockHo,1600,3,0,80
Super built-up  Area,18-May,3 BHK,Rasta Peth,,1250,3,1,39.5
Super built-up  Area,Ready To Move,1 BHK,Raviwar Peth,Prtusth,520,1,0,19.5
Super built-up  Area,Ready To Move,4 BHK,Sadashiv Peth,PueraRi,4000,5,,212
Built-up  Area,Ready To Move,3 BHK,Sahakar Nagar,Keids O,1390,3,2,68
Super built-up  Area,18-May,2 BHK,Salunke Vihar,SSdhimr,1185,2,2,40
Super built-up  Area,Ready To Move,2 BHK,Sasson Road,KVersuj,1219,2,2,48
Super built-up  Area,18-Dec,3 BHK,Satara Road,Sanzaat,1564,2,1,92
Super built-up  Area,Ready To Move,4 BHK,Senapati Bapat Road,DSndsod,3425 - 3435,6,0,228.5
Super built-up  Area,Ready To Move,2 BHK,Shaniwar Peth,Sancei ,1100,2,2,37.1
Built-up  Area,Ready To Move,3 BHK,Shivaji Nagar,Esale O,1300,2,0,60
Plot  Area,Ready To Move,3 Bedroom,Shukrawar Peth,,1600,2,0,80
Built-up  Area,Ready To Move,3 Bedroom,Sinhagad Road,,1600,3,2,75
Super built-up  Area,19-Mar,3 BHK,Somwar Peth,Puachal,1482,2,1,92
Plot  Area,18-May,3 Bedroom,Swargate,MGave E,1000,4,3,66
Super built-up  Area,Ready To Move,2 BHK,Tilak Road,,1200,2,3,53
Plot  Area,Ready To Move,3 Bedroom,Uruli Devachi,,600,3,2,75
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,,1200,2,0,58
Plot  Area,Ready To Move,6 Bedroom,Wadgaon Sheri,,600,4,0,60
Built-up  Area,Ready To Move,3 Bedroom,Viman Nagar,,2400,3,0,160
Super built-up  Area,19-Dec,3 BHK,Vishrant Wadi,PrensKe,1469,3,1,89
Super built-up  Area,22-Mar,1 BHK,Wagholi,,551,1,1,30
Super built-up  Area,19-Dec,2 BHK,Wakadewadi,,1160,2,1,52
Super built-up  Area,Ready To Move,2 BHK,Wanowrie,Soresea,1205,2,1,78.5
Built-up  Area,Ready To Move,3 BHK,Warje,,1550,2,3,52
Super built-up  Area,Ready To Move,3 BHK,Yerawada,MauilTr,1745,3,2,125
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,Kamesar,1028,2,1,42
Super built-up  Area,Ready To Move,3 BHK,Ambegaon Budruk,CaaveEn,1700,3,1,180
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,NadriNe,1200,2,1,34
Super built-up  Area,Ready To Move,3 BHK,Aundh,Soianal,2700,4,1,270
Built-up  Area,Ready To Move,2 BHK,Aundh Road,BSarknd,1100,2,2,50
Plot  Area,Ready To Move,2 Bedroom,Balaji Nagar,,1200,3,1,72
Super built-up  Area,Ready To Move,2 BHK,Baner,Dural C,1269.72,2,2,68
Super built-up  Area,Ready To Move,2 BHK,Baner road,SJmesst,1266,2,2,59
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,Srkha S,1060,2,1,62
Plot  Area,Ready To Move,3 Bedroom,Bhavani Peth,Copust ,1168,3,0,70
Super built-up  Area,Ready To Move,2 BHK,Bibvewadi,Sancya ,1552,2,1,51
Super built-up  Area,18-May,3 BHK,Bopodi,Sodgere,1804 - 2273,3,0,120
Super built-up  Area,Ready To Move,1 BHK,Budhwar Peth,Jae 1hu,500,1,1,17
Super built-up  Area,Ready To Move,2 BHK,Bund Garden Road,,1080,2,2,43.2
Plot  Area,Ready To Move,4 Bedroom,Camp,,2100,4,,155
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,Shntsan,1300,2,2,65
Built-up  Area,Ready To Move,2 BHK,Dapodi,SNavenc,920,2,2,33
Plot  Area,Ready To Move,4 Bedroom,Deccan Gymkhana,,817,2,1,120
Built-up  Area,Ready To Move,2 BHK,Dehu Road,SrEndPo,1310,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,,1650,2,1,75
Super built-up  Area,Ready To Move,3 BHK,Dhayari Phata,DSidePr,1515,3,3,93.93
Super built-up  Area,18-Dec,2 BHK,Dhole Patil Road,Prllsan,1157,2,1,53.8
Super built-up  Area,Ready To Move,4 BHK,Erandwane,,2400,5,1,85
Super built-up  Area,Ready To Move,4 BHK,Fatima Nagar,Siisega,3000,4,3,160
Super built-up  Area,Ready To Move,3 BHK,Fergusson College Road,,2200,2,1,162
Built-up  Area,19-Dec,2 BHK,Ganesh Peth,,1243,2,1,58
Super built-up  Area,Ready To Move,3 BHK,Ganeshkhind,Sovar S,1530,2,2,74.39
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,HRnyaAn,2070,3,3,162
Built-up  Area,Ready To Move,3 BHK,Ghorpadi,PrrloMo,1815,3,2,82
Super built-up  Area,Ready To Move,4 BHK,Gokhale Nagar,Maana E,3900,4,3,300
Super built-up  Area,18-Aug,2 BHK,Gultekdi,Sryalan,1000,2,1,28.88
Super built-up  Area,18-May,2 BHK,Guruwar peth,,982,2,2,24.55
Super built-up  Area,Ready To Move,2 BHK,Hadapsar,Puachal,1232,2,2,89
Super built-up  Area,19-Dec,3 BHK,Hadapsar Industrial Estate,Shestlo,1282,3,2,178
Super built-up  Area,Ready To Move,1 BHK,Hingne Khurd,Prensya,654,1,1,38.4
Built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,,1181,2,0,55
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,Prityel,1075,2,1,45
Plot  Area,Ready To Move,4 Bedroom,Karve Nagar,,1200,4,2,245
Super built-up  Area,Ready To Move,3 BHK,Karve Road,DSineun,1616,3,1,75
Built-up  Area,Ready To Move,5 Bedroom,Kasba Peth,,1800,6,0,44.5
Plot  Area,Ready To Move,6 Bedroom,Katraj,,1200,4,1,135
